date,fail,success,load_times,time_in_learning,words_learned,words_added,words_deleted
2024-03-29,12,18,37,388,0,25,6
2024-03-30,57,123,18,673,0,37,30
2024-03-31,29,84,3,469,0,7,0
2024-04-01,3,0,1,0,0,0,0
2024-04-02,43,73,14,604,0,0,0
2024-04-06,27,86,12,521,0,1,1
2024-04-07,0,0,1,0,0,14,0
2024-04-10,0,0,3,0,0,8,0
2024-04-11,47,138,1,660,0,0,0
2024-04-12,7,8,2,41,0,0,0
2024-04-13,71,149,5,937,0,13,0
2024-04-14,6,20,7,110,0,0,0
2024-04-15,36,48,6,514,0,37,1
2024-04-16,0,0,3,0,0,0,7
2024-04-19,39,48,13,253,2,0,0
2024-04-20,3,23,35,0,0,3,3
2024-04-21,48,261,53,1590,132,1,3
2024-04-22,20,83,3,442,1,0,0
2024-04-23,5,27,5,143,59,0,0
2024-04-24,2,15,1,182,62,0,0
2024-04-25,32,57,9,249,70,23,8
2024-04-26,48,97,1,1039,80,30,0
2024-04-27,51,152,3,849,87,0,1
2024-04-28,98,298,36,1993,99,8,6
